Standpunkt 1,  Ebene Unten,  U1,  1127.459038,  -1516.008869,  -1239.615356,  6.350000,  6.350000,  04/20/18 13:25:01,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000303 mm,  Weather:T=22.1C,P=982.4hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000149, 2 = 0.000045, 3 = 0.000050 mm
20180425,  Referenzen Belüftet,  Ref-7,  -48.341238,  2015.811361,  -206.036188,  19.050000,  19.050000,  04/25/18 10:39:38,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005151 mm,  Weather:T=21.9C,P=975.2hPA(mbar),H=40.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000002, 2 = 0.000060, 3 = 0.005150 mm
20180425,  Referenzen Belüftet,  Ref-4,  112.027760,  2152.369827,  -928.366727,  19.050000,  19.050000,  04/25/18 10:40:44,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003929 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001789, 2 = 0.000022, 3 = 0.000750 mm
20180425,  Referenzen Belüftet,  Ref-3,  -150.686393,  2201.304428,  -927.959260,  19.050000,  19.050000,  04/25/18 10:41:29,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004063 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001805, 2 = 0.000027, 3 = 0.000800 mm
20180425,  Referenzen Belüftet,  Ref-6,  -137.870480,  2202.858391,  -203.116734,  19.050000,  19.050000,  04/25/18 10:42:03,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003594 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=40.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000010, 2 = 0.001609, 3 = 0.000450 mm
20180425,  Referenzen Belüftet,  Ref-5,  102.366353,  2158.143728,  -203.465738,  19.050000,  19.050000,  04/25/18 10:42:52,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004197 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=40.0%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001886, 2 = 0.000005, 3 = 0.001000 mm
20180425,  Referenzen Belüftet,  Ref-1,  -5.591533,  2039.266421,  -81.944000,  19.050000,  19.050000,  04/25/18 10:43:29,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003625 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=40.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001775, 2 = 0.000002, 3 = 0.000200 mm
20180425,  Referenzen Belüftet,  Ref-2,  -178.804751,  2332.907001,  -81.173247,  19.050000,  19.050000,  04/25/18 10:44:00,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.007131 mm,  Weather:T=21.9C,P=975.1hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001823, 2 = 0.000183, 3 = 0.005700 mm
20180425,  Flaeche_unten_belueftet,  3,  28.103231,  2011.067245,  -907.008210,  19.050000,  19.050000,  04/25/18 10:44:58,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004291 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000090, 2 = 0.001913, 3 = 0.000750 mm
20180425,  Flaeche_unten_belueftet,  2,  104.225502,  2117.684513,  -907.260364,  19.050000,  19.050000,  04/25/18 10:45:20,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.000823 mm,  Weather:T=22.0C,P=975.0hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000324, 2 = 0.000164, 3 = 0.000250 mm
20180425,  Flaeche_unten_belueftet,  1,  209.734710,  2264.548452,  -907.503352,  19.050000,  19.050000,  04/25/18 10:45:40,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004584 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001972, 2 = 0.000204, 3 = 0.000800 mm
20180425,  Flaeche_unten_belueftet,  4,  -123.051725,  2035.426885,  -906.941790,  19.050000,  19.050000,  04/25/18 10:46:03,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004325 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000034, 2 = 0.001825, 3 = 0.001450 mm
20180425,  Flaeche_unten_belueftet,  5,  -157.213632,  2171.274060,  -906.991931,  19.050000,  19.050000,  04/25/18 10:46:20,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.002619 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000265, 2 = 0.000064, 3 = 0.002550 mm
20180425,  Flaeche_unten_belueftet,  6,  -203.369650,  2349.092816,  -906.997700,  19.050000,  19.050000,  04/25/18 10:46:40,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004846 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000077, 2 = 0.001902, 3 = 0.000600 mm
20180425,  Flaeche_mitte_belueftet,  1,  -200.761246,  2355.038580,  -195.828861,  19.050000,  19.050000,  04/25/18 10:47:44,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.008900 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.003564, 2 = 0.000151, 3 = 0.002850 mm
20180425,  Flaeche_mitte_belueftet,  3,  -132.302801,  2108.819995,  -196.309765,  19.050000,  19.050000,  04/25/18 10:48:26,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001742 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000052, 2 = 0.000321, 3 = 0.001600 mm
20180425,  Flaeche_mitte_belueftet,  4,  66.029241,  2074.230043,  -196.612511,  19.050000,  19.050000,  04/25/18 10:49:02,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005305 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001802, 2 = 0.001783, 3 = 0.000600 mm
20180425,  Flaeche_mitte_belueftet,  6,  215.866137,  2287.675940,  -196.457318,  19.050000,  19.050000,  04/25/18 10:49:42,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004567 mm,  Weather:T=22.0C,P=975.2hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000071, 2 = 0.001890, 3 = 0.001350 mm
20180425,  Flaeche_oben_belueftet,  1,  165.899802,  2239.024587,  -71.892644,  19.050000,  19.050000,  04/25/18 11:24:10,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005783 mm,  Weather:T=22.1C,P=974.8hPA(mbar),H=40.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001892, 2 = 0.001745, 3 = 0.000200 mm
20180425,  Flaeche_oben_belueftet,  2,  -40.201214,  2033.517213,  -72.283660,  19.050000,  19.050000,  04/25/18 10:51:47,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003093 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001509, 2 = 0.000160, 3 = 0.000200 mm
20180425,  Flaeche_oben_belueftet,  3,  -116.977606,  2253.711897,  -71.593634,  19.050000,  19.050000,  04/25/18 10:52:12,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004695 mm,  Weather:T=22.0C,P=975.1hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000587, 2 = 0.000086, 3 = 0.004500 mm
20180425,  Area,  PIM1_4,  2464.990861,  -2323.878627,  -33.400203,  19.050000,  19.050000,  04/25/18 10:57:02,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.006113 mm,  Weather:T=22.1C,P=975.1hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000001, 2 = 0.001683, 3 = 0.002200 mm
20180425,  Area,  T1,  -4196.957020,  805.390623,  -1981.676989,  19.050000,  19.050000,  04/25/18 11:09:58,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001469 mm,  Weather:T=22.0C,P=974.9hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000060, 2 = 0.000292, 3 = 0.000450 mm
20180425,  Area,  T2,  2662.168705,  3795.481057,  449.720879,  19.050000,  19.050000,  04/25/18 11:11:17,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.008468 mm,  Weather:T=22.0C,P=974.9hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001823, 2 = 0.000005, 3 = 0.000550 mm
20180425,  Area,  T3,  5347.839806,  -2147.256456,  192.611024,  19.050000,  19.050000,  04/25/18 11:12:17,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.010430 mm,  Weather:T=22.0C,P=975.0hPA(mbar),H=40.0%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001755, 2 = 0.000007, 3 = 0.002550 mm
20180425,  Netz nachher,  PIM1_4,  2464.988269,  -2323.879797,  -33.408699,  19.050000,  19.050000,  04/25/18 11:34:50,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001030 mm,  Weather:T=22.1C,P=974.9hPA(mbar),H=40.0%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000039, 2 = 0.000062, 3 = 0.001000 mm
20180425,  Netz nachher,  T1,  -4197.004601,  805.361522,  -1981.672172,  19.050000,  19.050000,  04/25/18 11:35:19,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.000640 mm,  Weather:T=22.2C,P=974.8hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000024, 2 = 0.000066, 3 = 0.000550 mm
20180425,  Netz nachher,  T2,  2662.182921,  3795.482473,  449.702429,  19.050000,  19.050000,  04/25/18 11:35:38,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.011551 mm,  Weather:T=22.2C,P=974.7hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001758, 2 = 0.001726, 3 = 0.001550 mm
20180425,  Netz nachher,  T3,  5347.845272,  -2147.257365,  192.609247,  19.050000,  19.050000,  04/25/18 11:35:58,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.015139 mm,  Weather:T=22.2C,P=974.7hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001748, 2 = 0.001731, 3 = 0.005300 mm
20180425,  Referenzen unbelüftet,  Ref-4,  112.075576,  2152.349196,  -928.410302,  19.050000,  19.050000,  04/25/18 11:39:16,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004655 mm,  Weather:T=22.2C,P=974.7hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000177, 2 = 0.001794, 3 = 0.001950 mm
20180425,  Referenzen unbelüftet,  Ref-3,  -150.698405,  2201.289157,  -927.994823,  19.050000,  19.050000,  04/25/18 11:40:07,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.009820 mm,  Weather:T=22.2C,P=974.7hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002192, 2 = 0.003535, 3 = 0.001200 mm
20180425,  Referenzen unbelüftet,  Ref-6,  -137.840269,  2202.774837,  -203.157551,  19.050000,  19.050000,  04/25/18 11:40:43,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001107 mm,  Weather:T=22.2C,P=974.6hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000002, 2 = 0.000256, 3 = 0.000950 mm
20180425,  Referenzen unbelüftet,  Ref-5,  102.390225,  2158.079890,  -203.527323,  19.050000,  19.050000,  04/25/18 11:41:16,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003672 mm,  Weather:T=22.2C,P=974.6hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000035, 2 = 0.000331, 3 = 0.003600 mm
20180425,  Referenzen unbelüftet,  Ref-1,  -5.565912,  2039.291430,  -82.617895,  19.050000,  19.050000,  04/25/18 11:42:34,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.002301 mm,  Weather:T=22.2C,P=974.6hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000028, 2 = 0.000010, 3 = 0.002300 mm
20180425,  Referenzen unbelüftet,  Ref-2,  -178.763522,  2332.962947,  -81.874828,  19.050000,  19.050000,  04/25/18 11:43:19,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001452 mm,  Weather:T=22.2C,P=974.6hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000035, 2 = 0.000009, 3 = 0.001450 mm
20180425,  Referenzen unbelüftet,  Ref-7,  -48.330886,  2015.726671,  -206.088264,  19.050000,  19.050000,  04/25/18 11:44:39,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.007287 mm,  Weather:T=22.2C,P=974.8hPA(mbar),H=40.0%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000126, 2 = 0.001570, 3 = 0.006550 mm
20180425,  Flaeche Oben unbelüftet,  1,  163.687307,  2239.246625,  -72.696275,  19.050000,  19.050000,  04/25/18 11:46:26,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.002530 mm,  Weather:T=22.2C,P=974.6hPA(mbar),H=39.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000463, 2 = 0.000075, 3 = 0.002300 mm
20180425,  Flaeche Oben unbelüftet,  3,  -117.197565,  2253.577410,  -72.320276,  19.050000,  19.050000,  04/25/18 11:47:34,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005758 mm,  Weather:T=22.2C,P=974.6hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001643, 2 = 0.001738, 3 = 0.002000 mm
20180425,  Flaeche Oben unbelüftet,  2,  -39.788386,  2034.138403,  -72.925380,  19.050000,  19.050000,  04/25/18 11:48:34,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.002107 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000997, 2 = 0.000252, 3 = 0.000250 mm
20180425,  Flaeche Mitte unbelüftet,  2,  -155.460796,  2224.879716,  -196.211257,  19.050000,  19.050000,  04/25/18 11:50:05,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004180 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000017, 2 = 0.001865, 3 = 0.000200 mm
20180425,  Flaeche Mitte unbelüftet,  1,  -199.165111,  2356.660759,  -195.940110,  19.050000,  19.050000,  04/25/18 11:51:20,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001404 mm,  Weather:T=22.3C,P=974.8hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000006, 2 = 0.000045, 3 = 0.001400 mm
20180425,  Flaeche Mitte unbelüftet,  3,  -131.802194,  2109.150006,  -196.326857,  19.050000,  19.050000,  04/25/18 11:52:03,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005877 mm,  Weather:T=22.3C,P=974.5hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001873, 2 = 0.001945, 3 = 0.001350 mm
20180425,  Flaeche Mitte unbelüftet,  6,  212.976226,  2286.905808,  -196.577054,  19.050000,  19.050000,  04/25/18 11:52:52,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003810 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000106, 2 = 0.001625, 3 = 0.000650 mm
20180425,  Flaeche Mitte unbelüftet,  5,  134.157258,  2170.901517,  -196.636439,  19.050000,  19.050000,  04/25/18 11:53:43,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.002873 mm,  Weather:T=22.3C,P=974.5hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001310, 2 = 0.000062, 3 = 0.000350 mm
20180425,  Flaeche Mitte unbelüftet,  4,  67.094975,  2073.047590,  -196.639290,  19.050000,  19.050000,  04/25/18 11:54:30,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.006471 mm,  Weather:T=22.3C,P=974.5hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001626, 2 = 0.001776, 3 = 0.004100 mm
20180425,  Flaeche Unten unbelüftet,  1,  210.033411,  2264.830224,  -907.537775,  19.050000,  19.050000,  04/25/18 11:55:25,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005147 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000049, 2 = 0.001662, 3 = 0.003150 mm
20180425,  Flaeche Unten unbelüftet,  2,  104.481431,  2117.818600,  -907.286324,  19.050000,  19.050000,  04/25/18 11:55:56,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.006059 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001968, 2 = 0.001756, 3 = 0.001700 mm
20180425,  Flaeche Unten unbelüftet,  3,  28.566866,  2011.553858,  -907.050475,  19.050000,  19.050000,  04/25/18 11:56:16,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.007703 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.003826, 2 = 0.000143, 3 = 0.000100 mm
20180425,  Flaeche Unten unbelüftet,  4,  -123.067574,  2035.347249,  -906.974867,  19.050000,  19.050000,  04/25/18 11:56:43,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.008832 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000320, 2 = 0.003650, 3 = 0.003350 mm
20180425,  Flaeche Unten unbelüftet,  5,  -156.735751,  2169.502270,  -907.028435,  19.050000,  19.050000,  04/25/18 11:57:05,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.008014 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.7%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000058, 2 = 0.001833, 3 = 0.006750 mm
20180425,  Flaeche Unten unbelüftet,  6,  -203.093698,  2348.493899,  -907.050931,  19.050000,  19.050000,  04/25/18 11:57:20,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.006258 mm,  Weather:T=22.3C,P=974.6hPA(mbar),H=39.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001916, 2 = 0.001653, 3 = 0.001150 mm
